Level,Date and Time,Source,Event ID,Task Category
Error,1/31/2024 4:19:36 PM,Schannel,36884,None,"The certificate received from the remote server does not contain the expected name. It is therefore not possible to determine whether we are connecting to the correct server. The server name we were expecting is outside-scanner-v6.ff.avast.com. The TLS connection request has failed. The attached data contains the server certificate.
 The SSPI client process is AvastSvc (PID: 4608)."
Information,1/31/2024 4:18:44 PM,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,1/31/2024 4:18:42 PM,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,1/31/2024 4:17:01 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 5 to 6.

Reason InputAccelerometer 

BootId: 682"
Information,1/31/2024 4:17:01 PM,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Input Keyboard."
Information,1/31/2024 4:17:00 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,1/31/2024 4:17:00 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:16:40 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,1/31/2024 4:16:40 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:16:34 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,1/31/2024 4:16:34 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:15:40 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,1/31/2024 4:15:40 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:14:30 PM,Netwtw10,7021,None,7021 - Connection telemetry fields and analysis usage
Information,1/31/2024 4:14:30 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,1/31/2024 4:14:30 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:10:28 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
Information,1/31/2024 4:10:28 PM,Netwtw10,7025,None,7025 - Dump after return from D3 before cmd 
Information,1/31/2024 4:08:57 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,1/31/2024 4:08:27 PM,Netwtw10,7026,None,7026 - Dump after return from D3 after cmd
